colegio,lon,lat
Escuela Normal Superior La Hacienda,-74.8147058,10.9825605
Institucion Educativa Distrital Salvador Suarez Suarez,-74.7986,10.966
Institucion Educativa Distrital Pestalozzi,-74.7953,11.0003
Institucion Educativa Distrital Simon Bolivar,-74.7682,10.9581
Institucion Educativa Distrital Sonia Ahumada,-74.8292,10.963
Institucion Educativa Distrital El Pueblo,-74.8395,10.9783
Institucion Educativa Distrital Ciudadela 20 De Julio,-74.8009,10.935
Nuevo Colegio Tecnico Del Santuario,-74.8027,10.9489
Instituto Tecnico Nacional De Comercio,-74.7847,10.9949
Institucion Educativa Distrital La Esmeralda,-74.8231,10.9661
Institucion Educativa Distrital Reuven Feuersten,-74.8046,10.9313
Institucion Educativa Distrital Ciudadela Estudiantil,-74.8078,10.9312
Colegio Comunitario Distrital Pablo Neruda,-74.8087,10.9283
Institucion Educativa Distrital Tecnica Diversificada De Barranquilla  Cotediba,-74.7815,10.9511
Institucion Educativa Distrital De Las Nieves,-74.7762,10.9535
Institucion Educativa Distrital Mundo Bolivariano,-74.8296,10.9533
Institucion Educativa Distrital Karl Parrish,-74.8694,11.0199
Institucion Educativa Comunitaria Distrital Manuel Elkin Patarroyo,-74.8301,10.9749
Institucion Educativa Distrital La Libertad,-74.8164,10.9771
Institucion Educativa Distrital Los Laureles,-74.7918,10.9328
Institucion Educativa Distrital Jorge Isaacs,-74.7665,10.9599
Institucion Educativa Distrital Carlos Meisel,-74.8138,10.974
Institucion Educativa Distrital Marco Fidel Suarez,-74.7918,10.942
Institucion Educativa Distrital Denis Herrera De Villa,-74.8245,10.9647
Colegio Distrital San Gabriel,-74.7884,10.9558
Nuevo Colegio Del Barrio Montes,-74.7812,10.9619
Institucion Educativa Distrital Javier Sanchez,-74.8055,10.9679
Institucion Educativa Distrital Jesus De Nazareth,-74.8108,10.9479
Institucion Educativa Distrital La Magdalena,-74.7961,10.9425
Institucion Educativa Distrital Hogar Mariano,-74.8063,10.9601
Institucion Educativa Distrital Tecnico Jesus Maestro Fe Y Alegria,-74.8116,10.9336
Institucion Educativa Tecnico Distrital Helena De Chauvin,-74.8152,10.9721
Institucion Educativa Distrital Evardo Turizo Palencia,-74.8228,10.965
Institucion Educativa Distrital Nuestra Senora Del Rosario,-74.7829,10.9876
Colegio Distrital Marie Poussepin,-74.7959,10.9695
Colegio Distrital Buenos Aires,-74.7652,10.9448
Institucion Educativa Distrital Isaac Newton,-74.8169,10.9589
Institucion Educativa Distrital Calixto Alvarez,-74.7763,10.9535
Institucion Educativa Distrital No. 176,-74.7679,10.9453
Institucion Educativa Distrital Rodolfo Llinas Riascos,-74.7774,10.8998
Institucion Educativa Distrital Jose Consuegra Higgins,-74.7999,10.9321
Institucion Educativa Distrital Lestonnac,-74.8168,10.9519
Institucion Educativa Distrital Jose Eusebio Caro,-74.7988,10.9459
Instituto Alexander Von Humboldt,-74.815546,10.9837986
Institucion Educativa Distrital La Luz,-74.7727,10.9599
Institucion Educativa Sofia Camargo De Lleras,-74.7984,10.9672
Institucion Educativa Distrital Salvador Entregas,-74.8005,10.9772
Institucion Educativa Distrital Los Rosales,-74.8295,10.9553
Institucion Educativa Distrital Jose Marti,-74.7752,10.9656
Instituto Tecnico Distrital Cruzada Social,-74.8022,10.9576
Institucion Educativa Colegio Distrital Maria Auxiliadora,-74.7938,10.9422
Colegio Distrital Alfonso Lopez,-74.7757,10.9637
Institucion Educativa Distrital Santa Bernardita,-74.8058,10.9855
Institucion Educativa Distrital Luis Carlos Galan Sarmiento,-74.7719,10.9551
Institucion Educativa Distrital Concentracion Cevillar,-74.8026,10.9284
Institucion Educativa Distrital Inocencio Chinca,-74.7998,10.969
Instituto Educativo Distrital Jose Maria Velaz,-74.8166,10.9618
Institucion Educativa Distrital Juan Acosta Solera,-74.8382,10.9715
Colegio Distrital Sagrado Corazon De Jesus,-74.7857,10.9725
Institucion Educativa Distrital Nino Jesus,-74.788,10.9779
Institucion Educativa Distrital Comunitaria 7 De Abril,-74.8128,10.9854
Institucion Educativa Distrital Nueva Granada,-74.8042,10.9792
Institucion Educativa Distrital Miguel Angel Builes,-74.7939,10.9712
Institucion Educativa Distrital Hilda Munoz,-74.8103,10.9743
Colegio Distrital Murillo,-74.799,10.9316
Institucion Educativa Distrital De Barranquilla  Codeba,-74.8008,10.9937
Institucion Educativa Distrital El Castillo De La Alboraya,-74.7961,10.9471
Institucion Educativa Distrital Villanueva,-74.7671,10.9596
Institucion Educativa Distrital Madres Catolicas,-74.8,10.9642
Institucion Educativa Distrital Tecnica  Bilingue Jorge Nicolas Abello,-74.8015,10.9729
Institucion Educativa Distrital San Salvador,-74.8028,11.0231
Colegio Distrital San Jose,-74.7902,10.9605
Institucion Educativa Distrital Las Flores,-74.8125,11.0078
Institucion Educativa Distrital San Luis,-74.8279,10.9406
Institucion Educativa Distrital Manuel Zapata Olivella,-74.8278,10.9777
Institucion Educativa Distrital Tecnica Metropolitano De Barranquilla Parque Educativo,-74.7966,10.9903
Institucion Educativa Distrital Tecnica De Rebolo,-74.7713,10.9699
Institucion Educativa Distrital La Victoria,-74.7988,10.9517
Colegio Distrital De Barranquilla Gabriel Garcia Marquez,-74.7943,10.9593
Institucion Educativa Distrital De Carrizal,-74.8082,10.9373
Institucion Educativa Distrital Santa Magdalena Sofia,-74.8073,11.0226
Institucion Educativa Distrital San Miguel Arcangel,-74.772,10.961
Institucion Educativa Distrital Betzabe Espinoza,-74.8444,10.9758
Colegio Distrital San Vicente De Paul,-74.858,11.0311
Institucion Educativa Distrital Fundacion Pies Descalzos,-74.866081,11.029178
