colegio,lon,lat
Escuela Normal Superior La Hacienda,-74.81471,10.98256
Institucion Educativa Distrital Salvador Suarez Suarez,-74.79860,10.96600
Institucion Educativa Distrital Pestalozzi,-74.79530,11.00030
Institucion Educativa Distrital Simon Bolivar,-74.76820,10.95810
Institucion Educativa Distrital Sonia Ahumada,-74.82920,10.96300
Institucion Educativa Distrital El Pueblo,-74.83950,10.97830
Institucion Educativa Distrital Ciudadela 20 De Julio,-74.80090,10.93500
Nuevo Colegio Tecnico Del Santuario,-74.80270,10.94890
Instituto Tecnico Nacional De Comercio,-74.78470,10.99490
Institucion Educativa Distrital La Esmeralda,-74.82310,10.96610
Institucion Educativa Distrital Reuven Feuersten,-74.80460,10.93130
Institucion Educativa Distrital Ciudadela Estudiantil,-74.80780,10.93120
Colegio Comunitario Distrital Pablo Neruda,-74.80870,10.92830
Institucion Educativa Distrital Tecnica Diversificada De Barranquilla  Cotediba,-74.78150,10.95110
Institucion Educativa Distrital De Las Nieves,-74.77620,10.95350
Institucion Educativa Distrital Mundo Bolivariano,-74.82960,10.95330
Institucion Educativa Distrital Karl Parrish,-74.86940,11.01990
Institucion Educativa Comunitaria Distrital Manuel Elkin Patarroyo,-74.83010,10.97490
Institucion Educativa Distrital La Libertad,-74.81640,10.97710
Institucion Educativa Distrital Los Laureles,-74.79180,10.93280
Institucion Educativa Distrital Jorge Isaacs,-74.76650,10.95990
Institucion Educativa Distrital Carlos Meisel,-74.81380,10.97400
Institucion Educativa Distrital Marco Fidel Suarez,-74.79180,10.94200
Institucion Educativa Distrital Denis Herrera De Villa,-74.82450,10.96470
Colegio Distrital San Gabriel,-74.78840,10.95580
Nuevo Colegio Del Barrio Montes,-74.78120,10.96190
Institucion Educativa Distrital Javier Sanchez,-74.80550,10.96790
Institucion Educativa Distrital Jesus De Nazareth,-74.81080,10.94790
Institucion Educativa Distrital La Magdalena,-74.79610,10.94250
Institucion Educativa Distrital Hogar Mariano,-74.80630,10.96010
Institucion Educativa Distrital Tecnico Jesus Maestro Fe Y Alegria,-74.81160,10.93360
Institucion Educativa Tecnico Distrital Helena De Chauvin,-74.81520,10.97210
Institucion Educativa Distrital Evardo Turizo Palencia,-74.82280,10.96500
Institucion Educativa Distrital Nuestra Senora Del Rosario,-74.78290,10.98760
Colegio Distrital Marie Poussepin,-74.79590,10.96950
Colegio Distrital Buenos Aires,-74.76520,10.94480
Institucion Educativa Distrital Isaac Newton,-74.81690,10.95890
Institucion Educativa Distrital Calixto Alvarez,-74.77630,10.95350
Institucion Educativa Distrital No. 176,-74.76790,10.94530
Institucion Educativa Distrital Rodolfo Llinas Riascos,-74.77740,10.89980
Institucion Educativa Distrital Jose Consuegra Higgins,-74.79990,10.93210
Institucion Educativa Distrital Lestonnac,-74.81680,10.95190
Institucion Educativa Distrital Jose Eusebio Caro,-74.79880,10.94590
Instituto Alexander Von Humboldt,-74.81555,10.98380
Institucion Educativa Distrital La Luz,-74.77270,10.95990
Institucion Educativa Sofia Camargo De Lleras,-74.79840,10.96720
Institucion Educativa Distrital Salvador Entregas,-74.80050,10.97720
Institucion Educativa Distrital Los Rosales,-74.82950,10.95530
Institucion Educativa Distrital Jose Marti,-74.77520,10.96560
Instituto Tecnico Distrital Cruzada Social,-74.80220,10.95760
Institucion Educativa Colegio Distrital Maria Auxiliadora,-74.79380,10.94220
Colegio Distrital Alfonso Lopez,-74.77570,10.96370
Institucion Educativa Distrital Santa Bernardita,-74.80580,10.98550
Institucion Educativa Distrital Luis Carlos Galan Sarmiento,-74.77190,10.95510
Institucion Educativa Distrital Concentracion Cevillar,-74.80260,10.92840
Institucion Educativa Distrital Inocencio Chinca,-74.79980,10.96900
Instituto Educativo Distrital Jose Maria Velaz,-74.81660,10.96180
Institucion Educativa Distrital Juan Acosta Solera,-74.83820,10.97150
Colegio Distrital Sagrado Corazon De Jesus,-74.78570,10.97250
Institucion Educativa Distrital Nino Jesus,-74.78800,10.97790
Institucion Educativa Distrital Comunitaria 7 De Abril,-74.81280,10.98540
Institucion Educativa Distrital Nueva Granada,-74.80420,10.97920
Institucion Educativa Distrital Miguel Angel Builes,-74.79390,10.97120
Institucion Educativa Distrital Hilda Munoz,-74.81030,10.97430
Colegio Distrital Murillo,-74.79900,10.93160
Institucion Educativa Distrital De Barranquilla  Codeba,-74.80080,10.99370
Institucion Educativa Distrital El Castillo De La Alboraya,-74.79610,10.94710
Institucion Educativa Distrital Villanueva,-74.76710,10.95960
Institucion Educativa Distrital Madres Catolicas,-74.80000,10.96420
Institucion Educativa Distrital Tecnica  Bilingue Jorge Nicolas Abello,-74.80150,10.97290
Institucion Educativa Distrital San Salvador,-74.80280,11.02310
Colegio Distrital San Jose,-74.79020,10.96050
Institucion Educativa Distrital Las Flores,-74.81250,11.00780
Institucion Educativa Distrital San Luis,-74.82790,10.94060
Institucion Educativa Distrital Manuel Zapata Olivella,-74.82780,10.97770
Institucion Educativa Distrital Tecnica Metropolitano De Barranquilla Parque Educativo,-74.79660,10.99030
Institucion Educativa Distrital Tecnica De Rebolo,-74.77130,10.96990
Institucion Educativa Distrital La Victoria,-74.79880,10.95170
Colegio Distrital De Barranquilla Gabriel Garcia Marquez,-74.79430,10.95930
Institucion Educativa Distrital De Carrizal,-74.80820,10.93730
Institucion Educativa Distrital Santa Magdalena Sofia,-74.80730,11.02260
Institucion Educativa Distrital San Miguel Arcangel,-74.77200,10.96100
Institucion Educativa Distrital Betzabe Espinoza,-74.84440,10.97580
Colegio Distrital San Vicente De Paul,-74.85800,11.03110
